,Time,Total Load,Power,Power Generation (MW),Net Load,Load Reduction %
134,2013-07-19 14:00:00,11415.683333333334,54133212.0,54.133212,11361.550121333334,0.47420036470294513
135,2013-07-19 15:00:00,11439.733333333332,52610224.0,52.610224,11387.123109333332,0.4598903004732046
136,2013-07-19 16:00:00,11452.216666666667,57711000.0,57.711,11394.505666666668,0.503928642635414
137,2013-07-19 17:00:00,11374.508333333331,66207610.0,66.207608,11308.30072533333,0.5820700645668934
138,2013-07-19 18:00:00,11111.9,79748660.0,79.748656,11032.151344,0.7176869482266759
139,2013-07-19 19:00:00,10846.683333333332,72186480.0,72.18648,10774.496853333332,0.6655166172147862
140,2013-07-19 20:00:00,10606.333333333334,81996300.0,81.996304,10524.337029333334,0.7730881297338068
141,2013-07-19 21:00:00,10505.508333333333,79863540.0,79.863536,10425.644797333332,0.7602062981245552
142,2013-07-19 22:00:00,10185.725,84228820.0,84.228816,10101.496184,0.8269300025280477
143,2013-07-19 23:00:00,9644.658333333333,111721680.0,111.72168,9532.936653333332,1.1583788262760302
144,2013-07-20 00:00:00,9120.358333333334,103950780.0,103.950784,9016.407549333333,1.1397664455800804
145,2013-07-20 01:00:00,8698.133333333333,107635730.0,107.635728,8590.497605333334,1.2374577840456191
146,2013-07-20 02:00:00,8344.0,119219016.0,119.219016,8224.780984,1.4287993288590604
147,2013-07-20 03:00:00,8060.933333333332,121181050.0,121.181048,7939.752285333331,1.503312866996378
148,2013-07-20 04:00:00,7847.416666666665,114230380.0,114.230384,7733.186282666665,1.4556431607004432
149,2013-07-20 05:00:00,7734.491666666668,113848530.0,113.848528,7620.643138666667,1.471958764797083
150,2013-07-20 06:00:00,7769.683333333334,122176184.0,122.176184,7647.507149333334,1.57247314669624
151,2013-07-20 07:00:00,8000.266666666666,101131710.0,101.131712,7899.134954666666,1.264104263191227
152,2013-07-20 08:00:00,8376.124999999998,103464700.0,103.464704,8272.660295999998,1.235233523855005
153,2013-07-20 09:00:00,8856.8,106566990.0,106.566992,8750.233008,1.2032222924758378
